"comm_fkt","year","month","rain_mm","date"
"AMBIABE_AMBALAFASINA",2015,8,2.05077558755875,2015-08-01
"AMBIABE_AMBALAFASINA",2015,9,5.32900902628899,2015-09-01
"AMBIABE_AMBALAFASINA",2015,10,64.2005164772272,2015-10-01
"AMBIABE_AMBALAFASINA",2015,11,121.204538106918,2015-11-01
"AMBIABE_AMBALAFASINA",2015,12,188.458149462938,2015-12-01
"AMBIABE_AMBALAFASINA",2016,1,81.5541930198669,2016-01-01
"AMBIABE_AMBALAFASINA",2016,2,110.772611618042,2016-02-01
"AMBIABE_AMBALAFASINA",2016,3,224.805261820555,2016-03-01
"AMBIABE_AMBALAFASINA",2016,4,13.3194603919983,2016-04-01
"AMBIABE_AMBALAFASINA",2016,5,30.1650837957859,2016-05-01
"AMBIABE_AMBALAFASINA",2016,6,26.9631547927856,2016-06-01
"AMBIABE_AMBALAFASINA",2016,7,11.8479314744473,2016-07-01
"AMBIABE_AMBALAFASINA",2016,8,3.59824851155281,2016-08-01
"AMBIABE_AMBALAFASINA",2016,9,4.13611218333244,2016-09-01
"AMBIABE_AMBALAFASINA",2016,10,68.8748867511749,2016-10-01
"AMBIABE_AMBALAFASINA",2016,11,128.990273982286,2016-11-01
"AMBIABE_AMBALAFASINA",2016,12,77.2670470476151,2016-12-01
"AMBIABE_AMBALAFASINA",2017,1,27.7270024120808,2017-01-01
"AMBIABE_AMBALAFASINA",2017,2,275.360086679459,2017-02-01
"AMBIABE_AMBALAFASINA",2017,3,194.967090547085,2017-03-01
"AMBIABE_AMBALAFASINA",2017,4,62.2127186954021,2017-04-01
"AMBIABE_AMBALAFASINA",2017,5,10.4081039726734,2017-05-01
"AMBIABE_AMBALAFASINA",2017,6,23.0636102855206,2017-06-01
"AMBIABE_AMBALAFASINA",2017,7,7.34096291661263,2017-07-01
"AMBIABE_AMBALAFASINA",2017,8,12.2882546782494,2017-08-01
"AMBIABE_AMBALAFASINA",2017,9,0,2017-09-01
"AMBIABE_AMBALAFASINA",2017,10,15.6861573457718,2017-10-01
"AMBIABE_AMBALAFASINA",2017,11,187.239789232612,2017-11-01
"AMBIABE_AMBALAFASINA",2017,12,211.231868952513,2017-12-01
"AMBIABE_AMBALAFASINA",2018,1,312.212559342384,2018-01-01
"AMBIABE_AMBALAFASINA",2018,2,136.888975262642,2018-02-01
"AMBIABE_AMBALAFASINA",2018,3,57.8744473457336,2018-03-01
