"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"r11382416",7,0,2,6,3,9,348.75,363,1.2384406387209,NA,NA,NA,NA,NA,NA,31496.37653,NA,NA
"r11382566",5,0,0,6,6,12,373.5,370,6.05291387801102,NA,NA,NA,NA,NA,NA,73509.4315644,11382566,"AMBIABE_AMBINANINDRANOTELO"
"r11384068",6,0,1,5,6,10,333.5,360,11.9022898492158,NA,NA,NA,NA,NA,NA,60005.3111854,11384068,"AMBIABE_AMBINANINDRANOTELO"
"r12173014",6,1,0,6,6,1,324.75,353.5,3.25834268218483,12,6,3,160,160,2.08019789995052,126034.867652,NA,NA
"r12943065",5,0,0,6,6,11,368.25,366.5,5.68805936499719,NA,NA,NA,NA,NA,NA,351723.600863,NA,NA
"r14085422",6,1,0,6,6,12,324.75,370,8.39717023834321,12,6,3,187,187,7.22700522004819,109692.952543,14085422,"MAROTOKO_AMBOATROTROKA"
"w1024490659",6,1,1,6,5,1,304.333333333333,341,24.5996609052953,1,6,3,161,161,13.7498109802196,7608.0097159,1024490659,"RANOMAFANA_SAHANDRAZANA"
"w1024490660",7,1,0,4,1,3,314,321,6.89169016474923,1,11,5,321,321,4.49343299043864,2719.2098917,1024490660,"RANOMAFANA_SAHANDRAZANA"
"w1024507740",8,2,1,10,10,5,249.2,216,32.0384083080332,11,4,2,178.5,178.5,28.2079180504211,635.082089398,NA,NA
"w1024507741",7,1,0,5,2,9,325.4,322,16.5079595175811,12,5,3,152,152,5.9735382471515,3412.75069761,1024507741,"AMBIABE_AMBINANINDRANOTELO"
"w1024507747",6,0,2,5,4,11,326.75,338.5,13.841980188618,NA,NA,NA,NA,NA,NA,861.474734394,NA,NA
