"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"r11382416",7,0,2,6,1,9,347.5,356,1.39629260331068,NA,NA,NA,NA,NA,NA,31496.37653,NA,NA
"r11382566",5,0,0,6,6,1,373.25,369.5,7.32296119862325,NA,NA,NA,NA,NA,NA,73509.4315644,11382566,"AMBIABE_AMBINANINDRANOTELO"
"r11384068",5,0,0,6,5,12,368.5,360,15.6803515962079,NA,NA,NA,NA,NA,NA,60005.3111854,11384068,"AMBIABE_AMBINANINDRANOTELO"
"r12173014",6,1,0,5,6,11,328,359,4.05181575110678,12,6,3,159,159,2.66558768258975,126034.867652,NA,NA
"r12943065",5,0,0,6,6,11,368.25,364,5.76900850612762,NA,NA,NA,NA,NA,NA,351723.600863,NA,NA
"r14085422",7,1,1,5,5,12,287.75,303.5,16.3824115266617,12,6,3,180,180,19.026887150544,109692.952543,14085422,"MAROTOKO_AMBOATROTROKA"
"w1024490659",4,0,1,5,5,12,351.333333333333,349,24.1444882808585,NA,NA,NA,NA,NA,NA,7608.0097159,1024490659,"RANOMAFANA_SAHANDRAZANA"
"w1024490660",6,2,0,4,4,8,280.75,265,14.7908102867539,1,8,5,377,377,9.44640540602607,2719.2098917,1024490660,"RANOMAFANA_SAHANDRAZANA"
"w1024507740",5,0,2,3,9,6,302.333333333333,327,19.7021344436278,NA,NA,NA,NA,NA,NA,635.082089398,NA,NA
"w1024507741",6,0,0,5,3,10,354.6,342,14.9877499978941,NA,NA,NA,NA,NA,NA,3412.75069761,1024507741,"AMBIABE_AMBINANINDRANOTELO"
"w1024507747",6,1,1,5,5,11,312.5,321,19.7395193033373,2,7,4,139,139,7.64747257158247,861.474734394,NA,NA
"w1026617068",5,0,1,12,4,9,366.5,356,1.38732344022989,NA,NA,NA,NA,NA,NA,2795.81365795,NA,NA
"w1056863346",8,0,2,6,6,11,309.8,335,13.3563680337791,NA,NA,NA,NA,NA,NA,1693.0343576,NA,NA
"w322703370",6,0,0,5,5,10,368.4,342,23.528197701445,NA,NA,NA,NA,NA,NA,17922.24639,322703370,"RANOMAFANA_RANOMAFANA"
"w322703371",10,2,3,6,1,9,209.4,209,21.6018789928217,1,6,3,170,170,12.3648725952126,52099.7954333,322703371,"RANOMAFANA_RANOMAFANA"
"w322703372",8,0,1,6,6,9,313.833333333333,303,24.8438641760302,NA,NA,NA,NA,NA,NA,4659.41031412,322703372,"RANOMAFANA_RANOMAFANA"
"w471663484",8,0,2,3,12,9,319.6,271,8.87637158634156,NA,NA,NA,NA,NA,NA,6996.18075497,471663484,"RANOMAFANA_AMBATOLAHY"
"w471663485",7,1,2,5,3,12,275,267.5,13.394476238707,3,8,6,146,146,4.1864450467924,641.169407819,NA,NA
"w471663486",5,0,1,5,6,11,328,335.5,0.057236417350536,NA,NA,NA,NA,NA,NA,1178.6948443,NA,NA
"w471663487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830.50777911,NA,NA
"w478125433",6,0,0,5,6,10,371.6,371,23.7982698818479,NA,NA,NA,NA,NA,NA,14074.8363099,478125433,"AMBOHIMANGA DU SUD_AMBODIRAFIA"
