"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","perc_max","osm_id","rcf_superficie","comm_fkt"
"r11382566",5,0,0,6,6,12,373.5,370,6.05291384214285,NA,NA,NA,NA,NA,NA,21.0252476507913,11382566,73509.432,"AMBIABE_AMBINANINDRANOTELO"
"r11384068",6,0,1,5,6,10,333.5,360,11.9022898859906,NA,NA,NA,NA,NA,NA,42.4458495980131,11384068,60005.311,"AMBIABE_AMBINANINDRANOTELO"
"r14085422",6,1,0,6,6,12,324.75,370,8.39717020335914,12,6,3,187,187,7.22700518993924,27.0025710647976,14085422,109692.953,"MAROTOKO_AMBOATROTROKA"
"w1024490659",6,1,1,6,5,1,304.333333333333,341,24.5996602692954,1,6,3,161,161,13.7498106142907,88.67182,1024490659,7608.01,"RANOMAFANA_SAHANDRAZANA"
"w1024490660",7,1,0,4,1,3,314,321,6.8916901382365,1,11,5,321,321,4.49343293047625,99.18818,1024490660,2719.21,"RANOMAFANA_SAHANDRAZANA"
"w1024507741",7,1,0,5,2,9,325.4,322,16.507958018769,12,5,3,152,152,5.97353790085758,64.46516,1024507741,3412.751,"AMBIABE_AMBINANINDRANOTELO"
"w322703370",6,0,0,5,5,10,368.6,342,19.326141535397,NA,NA,NA,NA,NA,NA,57.9684373704613,322703370,17922.246,"RANOMAFANA_RANOMAFANA"
"w322703371",8,0,2,6,6,9,307,362,12.3635527439093,NA,NA,NA,NA,NA,NA,43.5003773092965,322703371,52099.795,"RANOMAFANA_RANOMAFANA"
"w322703372",8,0,1,6,6,2,317.666666666667,304,21.6764330625356,NA,NA,NA,NA,NA,NA,66.9862955808353,322703372,4659.41,"RANOMAFANA_RANOMAFANA"
"w471663484",8,0,2,3,12,9,318.4,271,8.05634087526218,NA,NA,NA,NA,NA,NA,37.1706725009402,471663484,6996.181,"RANOMAFANA_AMBATOLAHY"
"w478125433",5,0,0,5,6,10,372,373.5,16.2674337228489,NA,NA,NA,NA,NA,NA,79.5172226398233,478125433,14074.836,"AMBOHIMANGA DU SUD_AMBODIRAFIA"
"w478125439",5,0,0,2,1,8,369.8,335,25.967128984853,NA,NA,NA,NA,NA,NA,80.2712410432329,478125439,2172.324,"ANTSINDRA_ANIVORANO"
"w478167630",7,0,2,6,7,12,380.75,387.5,11.3333365170918,NA,NA,NA,NA,NA,NA,43.6488064964136,478167630,12820.951,"AMBOHIMANGA DU SUD_FALIARIVO"
